final_cum_abs_dgv,final_recoverability,git_sha,monitor_alpha,monitor_beta,monitor_gamma,monitor_threshold,peak_abs_ds_dt,peak_s_total,ref_name,run_created_utc,run_id,run_number,scenario,behavior_bin
0.8588087034662247,,8fc85685eadd9caf911b51323316fa24574dc4d0,0.92,0.08,0.95,0.0025,0.007280994054066138,0.6931433789350595,main,2026-02-08T20:22:44.774930+00:00,21804761937,20,swarm_amplification,shock_recoverable
0.24410333432796094,,8fc85685eadd9caf911b51323316fa24574dc4d0,0.92,0.08,0.97,0.00012,0.0005652102722778438,0.6900000000000001,main,2026-02-08T20:22:44.774930+00:00,21804761937,20,adversarial_saturation,healthy
0.10278778433240932,0.26792245592629516,8fc85685eadd9caf911b51323316fa24574dc4d0,0.92,0.08,0.95,0.001,0.00022974883359572825,0.44911941792739263,main,2026-02-08T20:22:44.774930+00:00,21804761937,20,human_ai_feedback_loop,quiet_degradation
0.8588087034662247,,e74ef4b6bb159e578b9474c3eb061d9d55da58f7,0.92,0.08,0.95,0.0025,0.007280994054066138,0.6931433789350595,main,2026-02-08T20:23:29.774549+00:00,21804771063,21,swarm_amplification,shock_recoverable
0.24410333432796094,,e74ef4b6bb159e578b9474c3eb061d9d55da58f7,0.92,0.08,0.97,0.00012,0.0005652102722778438,0.6900000000000001,main,2026-02-08T20:23:29.774549+00:00,21804771063,21,adversarial_saturation,healthy
0.10278778433240932,0.26792245592629516,e74ef4b6bb159e578b9474c3eb061d9d55da58f7,0.92,0.08,0.95,0.001,0.00022974883359572825,0.44911941792739263,main,2026-02-08T20:23:29.774549+00:00,21804771063,21,human_ai_feedback_loop,quiet_degradation
0.8588087034662247,,ae14c7525d400005f532f2cf16cd586f55664c20,0.92,0.08,0.95,0.0025,0.007280994054066138,0.6931433789350595,main,2026-02-09T22:38:18.124662+00:00,21843606299,49,swarm_amplification,shock_recoverable
0.24410333432796094,,ae14c7525d400005f532f2cf16cd586f55664c20,0.92,0.08,0.97,0.00012,0.0005652102722778438,0.6900000000000001,main,2026-02-09T22:38:18.124662+00:00,21843606299,49,adversarial_saturation,healthy
0.10278778433240932,0.26792245592629516,ae14c7525d400005f532f2cf16cd586f55664c20,0.92,0.08,0.95,0.001,0.00022974883359572825,0.44911941792739263,main,2026-02-09T22:38:18.124662+00:00,21843606299,49,human_ai_feedback_loop,quiet_degradation
0.8588087034662247,,5ed0d558aee54fd616399d8ea2de5d185306e4dc,0.92,0.08,0.95,0.0025,0.007280994054066138,0.6931433789350595,main,2026-02-09T22:56:53.951028+00:00,21844128330,50,swarm_amplification,shock_recoverable
0.24410333432796094,,5ed0d558aee54fd616399d8ea2de5d185306e4dc,0.92,0.08,0.97,0.00012,0.0005652102722778438,0.6900000000000001,main,2026-02-09T22:56:53.951028+00:00,21844128330,50,adversarial_saturation,healthy
0.10278778433240932,0.26792245592629516,5ed0d558aee54fd616399d8ea2de5d185306e4dc,0.92,0.08,0.95,0.001,0.00022974883359572825,0.44911941792739263,main,2026-02-09T22:56:53.951028+00:00,21844128330,50,human_ai_feedback_loop,quiet_degradation
0.8588087034662247,,f187eb086dc2a6a5a299b7669c26cc02138b7cf6,0.92,0.08,0.95,0.0025,0.007280994054066138,0.6931433789350595,main,2026-02-09T23:32:16.251581+00:00,21845078038,51,swarm_amplification,shock_recoverable
0.24410333432796094,,f187eb086dc2a6a5a299b7669c26cc02138b7cf6,0.92,0.08,0.97,0.00012,0.0005652102722778438,0.6900000000000001,main,2026-02-09T23:32:16.251581+00:00,21845078038,51,adversarial_saturation,healthy
0.10278778433240932,0.26792245592629516,f187eb086dc2a6a5a299b7669c26cc02138b7cf6,0.92,0.08,0.95,0.001,0.00022974883359572825,0.44911941792739263,main,2026-02-09T23:32:16.251581+00:00,21845078038,51,human_ai_feedback_loop,quiet_degradation
